geoid,geoname,sumlev,description,est_12,est_13,est_14,est_15,est_16
18001,Adams,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12317,12127,12164,12183,12260
18003,Allen,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,137197,138212,139384,140536,141483
18005,Bartholomew,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,30075,30041,30516,30518,31073
18007,Benton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,3462,3444,3464,3429,3388
18009,Blackford,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5293,5190,5236,5228,5207
18011,Boone,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,21631,21908,22248,22924,23427
18013,Brown,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6094,5889,5926,6095,5953
18015,Carroll,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8060,7995,7828,7793,7770
18017,Cass,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14721,14827,14759,14555,14536
18019,Clark,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,42848,42502,42774,42974,43074
18021,Clay,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10128,10230,10221,10345,10541
18023,Clinton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,11689,11745,11853,11643,11769
18025,Crawford,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,4259,4237,4166,4101,4076
18027,Daviess,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,11088,11160,11462,11452,11483
18029,Dearborn,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,18455,18556,18648,18634,18639
18031,Decatur,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9881,9792,9809,10074,10120
18033,DeKalb,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,16350,16032,16235,16247,16221
18035,Delaware,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,46068,46325,46239,45761,46104
18037,Dubois,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,15945,15890,15926,16190,16311
18039,Elkhart,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,70161,70130,70427,70439,70822
18041,Fayette,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9623,9536,9336,9336,9420
18043,Floyd,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,29188,29087,29017,29088,29034
18045,Fountain,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6881,6925,6912,6951,6963
18047,Franklin,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8553,8551,8726,8848,8710
18049,Fulton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8437,8221,8208,7963,7962
18051,Gibson,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13048,13094,12987,13102,13297
18053,Grant,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,26968,26981,26829,26477,26227
18055,Greene,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12912,12894,12879,12798,12688
18057,Hamilton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,101203,103234,105578,108253,111443
18059,Hancock,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,25943,26071,26142,26340,26680
18061,Harrison,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14368,14499,14678,14604,14524
18063,Hendricks,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,52122,52946,53959,54652,55744
18065,Henry,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,18741,18367,18214,18010,17926
18067,Howard,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,34168,34544,34386,34413,34411
18069,Huntington,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14224,14138,14413,14480,14532
18071,Jackson,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,16736,16713,16657,16614,16517
18073,Jasper,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12117,11924,11988,11996,12091
18075,Jay,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8188,8179,8196,8117,8062
18077,Jefferson,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12637,12668,12746,12694,12642
18079,Jennings,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10705,10632,10585,10607,10519
18081,Johnson,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,51952,52239,52873,53270,53713
18083,Knox,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14923,14738,14705,14779,14655
18085,Kosciusko,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,30113,29705,29414,29586,30078
18087,LaGrange,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,11933,11833,11735,11719,11850
18089,Lake,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,182028,182080,182919,183314,184140
18091,LaPorte,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,42569,42690,42756,43004,43052
18093,Lawrence,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,18869,18592,18561,18494,18426
18095,Madison,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,50780,50637,51232,51274,51441
18097,Marion,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,359438,360072,361648,363558,365472
18099,Marshall,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,17773,17581,17468,17324,17093
18101,Martin,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,4108,4146,4199,4201,4219
18103,Miami,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13320,13210,13246,13164,13268
18105,Monroe,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,53894,53914,53778,54165,54278
18107,Montgomery,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,14611,14590,14574,14637,14852
18109,Morgan,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,25718,25621,25456,25609,25655
18111,Newton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5338,5374,5327,5401,5482
18113,Noble,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,17706,17722,17703,18101,18013
18115,Ohio,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,2451,2422,2445,2389,2427
18117,Orange,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7637,7688,7618,7648,7720
18119,Owen,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8641,8552,8539,8553,8581
18121,Parke,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6039,5893,6128,5995,6150
18123,Perry,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7499,7411,7356,7282,7318
18125,Pike,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5272,5149,5093,4994,4957
18127,Porter,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,61312,61502,61693,62103,62429
18129,Posey,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10063,10050,10178,10098,10017
18131,Pulaski,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,5071,5058,5134,5184,5174
18133,Putnam,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12493,12414,12557,12649,12962
18135,Randolph,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10324,10429,10514,10529,10483
18137,Ripley,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10694,10761,10871,10921,10981
18139,Rush,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6798,6874,6920,6942,6747
18141,St. Joseph,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,101201,101947,101759,102005,100861
18143,Scott,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9028,8914,8973,8962,8844
18145,Shelby,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,17124,17171,17315,17193,17309
18147,Spencer,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,8084,7984,7917,7964,8065
18149,Starke,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9040,8964,9009,8789,8727
18151,Steuben,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13668,13514,13409,13485,13451
18153,Sullivan,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,7878,7764,7720,7639,7713
18155,Switzerland,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,4016,4099,4065,4071,4102
18157,Tippecanoe,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,65837,66667,66921,67756,68172
18159,Tipton,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6665,6622,6479,6394,6401
18161,Union,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,2983,2943,2949,2963,2917
18163,Vanderburgh,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,74301,73963,74365,74217,74313
18165,Vermillion,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,6520,6466,6491,6538,6600
18167,Vigo,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,39728,39597,39769,40315,40753
18169,Wabash,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,12817,12703,12777,12901,12767
18171,Warren,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,3246,3283,3325,3305,3327
18173,Warrick,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,22406,22454,22675,22883,23290
18175,Washington,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10757,10631,10512,10542,10540
18177,Wayne,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,28202,28185,27891,27168,26664
18179,Wells,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,10807,10904,10952,10831,10828
18181,White,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,9601,9541,9458,9513,9670
18183,Whitley,50,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT: Total:,13086,13094,13091,13152,13232
